iter	MultiClass
0	1.334391914
1	1.081136356
2	0.9364804107
3	0.8322317731
4	0.7460327275
5	0.6809274558
6	0.6313522918
7	0.5919084466
8	0.5560845857
9	0.5280238163
10	0.504955973
11	0.4829426933
12	0.4686282767
13	0.4559970839
14	0.4441902546
15	0.4349292719
16	0.4246868891
17	0.4141596814
18	0.4071592265
19	0.4012063851
20	0.3960279543
21	0.3897987229
22	0.3848375819
23	0.3793780471
24	0.3753075006
25	0.371986739
26	0.3690757341
27	0.3658854969
28	0.3626625612
29	0.3587818753
30	0.356309162
31	0.3533745153
32	0.3510507304
33	0.3482781743
34	0.3456881213
35	0.3435112253
36	0.3416591544
37	0.3388446345
38	0.3367778529
39	0.333730372
40	0.3326897073
41	0.330462497
42	0.3291084895
43	0.3278196198
44	0.3265598573
45	0.3247874549
46	0.3230827741
47	0.3212948683
48	0.3200425272
49	0.3187113448
50	0.3171554597
51	0.3156604678
52	0.3140028315
53	0.3126270783
54	0.3102653786
55	0.3085944672
56	0.3075658924
57	0.3061893505
58	0.3045980642
59	0.3026983602
60	0.3011112893
61	0.3000152698
62	0.2986594706
63	0.2978191353
64	0.2961664519
65	0.294531236
66	0.2938216384
67	0.2927446137
68	0.2914331275
69	0.2899658795
70	0.2891050075
71	0.2878616393
72	0.2868494875
73	0.2862073481
74	0.2847957551
75	0.2841054681
76	0.2833820227
77	0.2822216809
78	0.2813531307
79	0.2805083686
80	0.2798107543
81	0.2792496332
82	0.2780360783
83	0.2770480683
84	0.2763302318
85	0.2756789692
86	0.2746994691
87	0.2738982978
88	0.2734867206
89	0.2725505473
90	0.2715216843
91	0.270381331
92	0.269746303
93	0.2689364644
94	0.2681435634
95	0.2676869556
96	0.2671361981
97	0.266642467
98	0.2660068168
99	0.2652820867
100	0.264556599
101	0.2638727515
102	0.2633153348
103	0.2624508098
104	0.2618993664
105	0.2614523646
106	0.2606096865
107	0.2602331157
108	0.2595427301
109	0.2590164811
110	0.2584566563
111	0.2577832568
112	0.2568539045
113	0.2558696006
114	0.2554781002
115	0.2547003317
116	0.2542117792
117	0.2539034497
118	0.2532055602
119	0.2524710604
120	0.2522088531
121	0.2519226718
122	0.2513257293
123	0.2509161788
124	0.2503280986
125	0.2495751287
126	0.2489965697
127	0.2484869703
128	0.2478397266
129	0.2472300541
130	0.2468538557
131	0.2463890207
132	0.2457779645
133	0.2453258678
134	0.2448377706
135	0.2439886024
136	0.2434631438
137	0.243172837
138	0.2428789627
139	0.2425583563
140	0.2422799493
141	0.2419432793
142	0.2414951429
143	0.2411557126
144	0.2408065117
145	0.2404876774
146	0.2400236167
147	0.2395199359
148	0.2387395524
149	0.2382541384
150	0.237705279
151	0.2370289422
152	0.2366969264
153	0.2362324958
154	0.2356584638
155	0.2354484336
156	0.2350402214
157	0.2348202559
158	0.2345552319
159	0.2341235034
160	0.2337609329
161	0.2334820784
162	0.2331123367
163	0.2329124544
164	0.2325559583
165	0.2322404469
166	0.2319561708
167	0.2314270919
168	0.2308712457
169	0.2303434803
170	0.2301436947
171	0.2300403528
172	0.2298089016
173	0.2295061163
174	0.2291825317
175	0.2287755105
176	0.228362545
