iter	Passed	Remaining
0	19	7484
1	39	7309
2	60	7460
3	80	7451
4	102	7598
5	123	7594
6	143	7558
7	164	7578
8	186	7600
9	206	7569
10	227	7539
11	248	7529
12	272	7601
13	296	7660
14	321	7736
15	343	7733
16	366	7739
17	391	7787
18	414	7780
19	434	7739
20	454	7676
21	473	7622
22	494	7589
23	513	7538
24	536	7530
25	555	7477
26	575	7444
27	596	7411
28	622	7443
29	647	7469
30	672	7479
31	697	7497
32	720	7491
33	745	7499
34	771	7520
35	795	7512
36	818	7498
37	842	7495
38	864	7467
39	884	7429
40	904	7390
41	925	7358
42	945	7323
43	965	7282
44	985	7246
45	1004	7206
46	1024	7168
47	1044	7136
48	1063	7093
49	1083	7063
50	1103	7029
51	1123	6999
52	1143	6971
53	1163	6938
54	1182	6901
55	1201	6866
56	1221	6833
57	1240	6799
58	1259	6768
59	1280	6745
60	1301	6722
61	1322	6697
62	1342	6670
63	1361	6639
64	1383	6619
65	1404	6598
66	1424	6569
67	1444	6541
68	1464	6516
69	1484	6490
70	1504	6460
71	1525	6441
72	1544	6410
73	1563	6378
74	1583	6354
75	1602	6325
76	1621	6296
77	1641	6272
78	1660	6241
79	1678	6211
80	1698	6186
81	1719	6165
82	1738	6138
83	1758	6111
84	1777	6083
85	1795	6054
86	1815	6029
87	1833	6001
88	1852	5972
89	1872	5948
90	1891	5924
91	1911	5900
92	1929	5870
93	1949	5848
94	1969	5824
95	1987	5796
96	2006	5769
97	2024	5743
98	2044	5719
99	2064	5698
100	2083	5673
101	2103	5649
102	2124	5631
103	2145	5610
104	2164	5587
105	2183	5560
106	2202	5536
107	2220	5510
108	2240	5487
109	2260	5466
110	2279	5443
111	2299	5419
112	2317	5394
113	2340	5378
114	2360	5357
115	2380	5334
116	2399	5311
117	2418	5287
118	2438	5265
119	2457	5243
120	2476	5218
121	2495	5196
122	2516	5175
123	2534	5151
124	2557	5134
125	2577	5114
126	2598	5094
127	2617	5070
128	2636	5047
129	2655	5025
130	2676	5004
131	2695	4982
132	2714	4959
133	2733	4937
134	2754	4917
135	2775	4898
136	2795	4876
137	2815	4855
138	2833	4831
139	2852	4808
140	2870	4783
141	2889	4761
142	2907	4737
143	2926	4714
144	2945	4692
145	2965	4672
146	2985	4650
147	3005	4629
148	3024	4608
149	3043	4585
150	3063	4564
151	3083	4544
152	3103	4522
153	3122	4501
154	3141	4479
155	3163	4462
156	3184	4442
157	3204	4421
158	3223	4399
159	3244	4379
160	3263	4357
161	3283	4337
162	3302	4315
163	3322	4294
164	3341	4272
165	3362	4253
166	3380	4231
167	3399	4209
168	3419	4187
169	3440	4169
170	3460	4148
171	3481	4129
172	3500	4107
173	3519	4086
174	3539	4065
