iter	Logloss
0	0.5859587585
1	0.5199768909
2	0.4941494867
3	0.4712108478
4	0.448017816
5	0.4308517781
6	0.4269619996
7	0.4233851753
8	0.4012187544
9	0.3955599669
10	0.3916713214
11	0.3904164147
12	0.3826666226
13	0.3765442502
14	0.3738695948
15	0.3725858997
16	0.369330128
17	0.3680962415
18	0.3668325042
19	0.3599627443
20	0.3584510041
21	0.3576972301
22	0.356265022
23	0.355168652
24	0.3526727717
25	0.3513548699
26	0.3499714574
27	0.3492720009
28	0.3480807239
29	0.347129665
30	0.3459736287
31	0.345004977
32	0.3443975972
33	0.3436319984
34	0.3426840542
35	0.3418702866
36	0.3396865279
37	0.3386720102
38	0.3375283841
39	0.336684866
40	0.3359405255
41	0.3351957974
42	0.3339627144
43	0.333276948
44	0.3322050953
45	0.3312563214
46	0.3306622815
47	0.3287149078
48	0.3278049015
49	0.3266874839
50	0.3254685227
51	0.3225206295
52	0.3215507131
53	0.3207004686
54	0.3201169589
55	0.3191933114
56	0.3180051172
57	0.3173731706
58	0.3159728908
59	0.3151608492
60	0.3138767783
61	0.3126156095
62	0.3119065392
63	0.3112435911
64	0.3103103955
65	0.3094676533
66	0.3085110171
67	0.3079945722
68	0.3070048117
69	0.3054971698
70	0.3049204005
71	0.3042590713
72	0.3034975374
73	0.3022750081
74	0.3014702859
75	0.3004225343
76	0.2995301623
77	0.298734488
78	0.2977636251
79	0.297362259
80	0.296661378
81	0.2962256045
82	0.2954975024
83	0.2947877483
84	0.2941376583
85	0.293479124
86	0.2916672976
87	0.2908482672
88	0.2903736153
89	0.289757874
90	0.2891004814
91	0.288529234
92	0.2877859232
93	0.2871096707
94	0.286018258
95	0.2856232374
96	0.2849242139
97	0.2842334452
98	0.2831412963
99	0.2828212374
100	0.281910025
101	0.2811520054
102	0.2805174328
103	0.280191059
104	0.2794628413
105	0.278981197
106	0.2784520984
107	0.2777425027
108	0.2772247429
109	0.2766924131
110	0.2764335094
111	0.2755570293
112	0.2749091235
113	0.274269376
114	0.2736470993
115	0.2731982962
116	0.2727708982
117	0.2723788786
118	0.2720367819
119	0.2714444063
120	0.2709002884
121	0.2705127424
122	0.2697837165
123	0.2692005824
124	0.2684476528
125	0.2681122853
126	0.2677365208
127	0.2669785036
128	0.2665009048
129	0.2661313164
130	0.2658286444
131	0.265497755
132	0.2651065142
133	0.264653709
134	0.2642422386
135	0.2636823777
136	0.2629685572
