iter	Passed	Remaining
0	174	87283
1	185	46090
2	194	32266
3	206	25576
4	216	21419
5	228	18823
6	238	16793
7	247	15246
8	258	14124
9	267	13086
10	279	12417
11	290	11831
12	301	11282
13	311	10826
14	323	10449
15	332	10056
16	343	9747
17	352	9449
18	362	9186
19	374	8979
20	386	8805
21	396	8613
22	410	8511
23	424	8422
24	435	8276
25	445	8129
26	455	7986
27	466	7858
28	479	7782
29	490	7677
30	500	7576
31	510	7466
32	522	7389
33	535	7333
34	546	7263
35	559	7213
36	573	7179
37	586	7131
38	599	7088
39	608	6996
40	621	6958
41	634	6919
42	644	6853
43	655	6789
44	666	6736
45	678	6696
46	688	6638
47	699	6589
48	708	6520
49	719	6472
50	729	6420
51	739	6370
52	749	6318
53	757	6256
54	767	6210
55	777	6167
56	788	6127
57	798	6086
58	808	6041
59	821	6025
60	834	6002
61	844	5967
62	854	5927
63	864	5892
64	875	5858
65	885	5824
66	894	5783
67	905	5755
68	915	5718
69	926	5689
70	936	5658
71	945	5623
72	955	5588
73	966	5561
74	977	5541
75	992	5534
76	1004	5516
77	1018	5509
78	1030	5492
79	1045	5486
80	1056	5463
81	1067	5443
82	1079	5424
83	1092	5412
84	1105	5397
85	1117	5379
86	1129	5361
87	1140	5340
88	1153	5326
89	1163	5300
90	1174	5277
91	1182	5243
92	1194	5226
93	1205	5205
94	1215	5180
95	1227	5163
96	1239	5151
97	1253	5140
98	1263	5116
99	1274	5099
100	1285	5076
101	1295	5053
102	1304	5029
103	1315	5007
104	1325	4988
105	1336	4965
106	1345	4942
107	1356	4923
108	1367	4905
109	1377	4885
110	1388	4866
111	1400	4850
112	1409	4828
113	1419	4807
114	1431	4791
115	1442	4775
116	1456	4767
117	1468	4753
118	1478	4734
119	1490	4720
120	1503	4707
121	1515	4695
122	1527	4682
123	1539	4667
124	1554	4663
125	1566	4648
126	1580	4641
127	1591	4623
128	1600	4604
129	1610	4584
130	1621	4566
131	1634	4555
132	1644	4537
133	1655	4522
134	1667	4508
135	1680	4497
136	1691	4481
137	1701	4462
138	1711	4446
139	1722	4428
140	1730	4406
141	1741	4389
142	1751	4372
143	1762	4357
144	1773	4342
145	1783	4325
146	1793	4307
147	1804	4291
148	1813	4272
149	1824	4256
150	1833	4237
151	1844	4222
152	1853	4203
153	1864	4189
154	1877	4178
155	1894	4176
156	1907	4167
157	1918	4152
158	1929	4137
159	1944	4132
160	1959	4125
161	1972	4115
162	1988	4111
163	2000	4098
164	2010	4081
165	2024	4072
166	2035	4059
167	2046	4043
168	2058	4031
169	2070	4019
170	2084	4009
171	2094	3994
172	2105	3979
173	2117	3967
174	2133	3963
175	2144	3947
176	2156	3935
177	2167	3920
178	2177	3905
179	2188	3890
180	2198	3874
181	2208	3858
182	2218	3843
183	2229	3829
184	2239	3813
185	2251	3800
186	2263	3787
187	2272	3772
188	2281	3754
189	2291	3738
190	2302	3725
191	2314	3712
192	2327	3702
193	2335	3684
194	2344	3666
195	2354	3652
196	2366	3639
197	2377	3626
198	2386	3609
199	2395	3593
200	2404	3577
201	2415	3562
202	2425	3548
203	2434	3532
204	2444	3518
205	2454	3502
206	2464	3487
207	2475	3474
208	2485	3459
209	2495	3445
210	2505	3431
211	2517	3419
212	2530	3410
213	2545	3401
214	2556	3389
215	2567	3376
216	2578	3363
217	2587	3347
218	2597	3332
219	2606	3317
220	2615	3302
221	2626	3289
222	2637	3276
223	2649	3265
224	2662	3254
225	2675	3243
226	2688	3233
227	2700	3221
228	2712	3209
229	2725	3199
230	2740	3191
231	2753	3181
232	2767	3171
